iter	Logloss
0	0.6924879895
1	0.6918826361
2	0.6912409163
3	0.6906278871
4	0.6900406084
5	0.6894452257
6	0.6888623308
7	0.6883107972
8	0.6877825471
9	0.6872181466
10	0.686694269
11	0.6861721162
12	0.6856412812
13	0.6851471011
14	0.6846806907
15	0.6842076237
16	0.6837584087
17	0.6832807048
18	0.6828197594
19	0.682365183
20	0.6819156109
21	0.6814719714
22	0.6810563603
23	0.6806370359
24	0.6802093315
25	0.6797888465
26	0.6794046122
27	0.6790076018
28	0.6786300934
29	0.6782620164
30	0.6778961574
31	0.6775468919
32	0.6771939953
33	0.6768370308
34	0.6764851791
35	0.6761603607
36	0.6758528583
37	0.6755403133
38	0.67521625
39	0.6749096418
40	0.6746070814
41	0.674315209
42	0.674035875
43	0.6737592684
44	0.6734798846
45	0.6732147405
46	0.6729519942
47	0.6727123732
48	0.6724579466
49	0.6722062115
50	0.6719520171
51	0.6717085047
52	0.6714731338
53	0.6712377026
54	0.6709986534
55	0.6707827904
56	0.6705593758
57	0.6703342399
58	0.6701272753
59	0.6699053744
60	0.6697023487
61	0.6694850367
62	0.669279911
63	0.6690759367
64	0.6688741475
65	0.6686717563
66	0.6684723153
67	0.6682789214
68	0.6681084367
69	0.667927414
70	0.6677688832
71	0.6675824974
72	0.6674055112
73	0.667227827
74	0.667077603
75	0.6669043207
76	0.6667433604
77	0.6665891763
78	0.6664450734
79	0.6662788074
80	0.6661290498
81	0.6659803649
82	0.6658321764
83	0.6656824758
84	0.6655307085
85	0.6654106661
86	0.665283618
87	0.665154614
88	0.665023068
89	0.6649034994
90	0.6647833428
91	0.6646670548
92	0.6645558141
93	0.6644427309
94	0.6643313717
95	0.6642314057
96	0.6641259309
97	0.664021859
98	0.6639270142
99	0.6638421978
100	0.6637353648
101	0.6636260496
102	0.6635243764
103	0.6634268091
104	0.6633195756
105	0.6632263431
106	0.6631321729
107	0.6630237886
108	0.662920904
109	0.6628365145
110	0.6627414377
111	0.6626644517
112	0.6625830156
113	0.662491491
114	0.6624136768
115	0.662339666
116	0.6622687864
117	0.6621988837
1533458
118	0.662073451
119	0.6619872403
120	0.6619121851
121	0.6618420799
122	0.6617650712
123	0.661679229
124	0.6616136626
125	0.6615504707
126	0.6614684154
127	0.6613920318
128	0.6613349256
129	0.6612707861
130	0.6612022321
131	0.6611259687
132	0.6610685266
133	0.6609994649
134	0.6605948418
135	0.6605255527
136	0.6604611794
137	0.6604073922
138	0.6603543132
139	0.6602959281
140	0.6602390952
141	0.6601827769
142	0.6601165242
143	0.6600573334
144	0.660000143
145	0.6599453434
46	0.6593492533
147	0.6592913412
148	0.6592342822
149	0.6591784442
150	0.6591236802
151	0.659078299
152	0.6590219726
153	0.6589679938
154	0.6589170452
155	0.6588730742
156	0.658811351
157	0.6587744955
158	0.6587295841
159	0.6586740953
160	0.6586207349
161	0.6585739854
162	0.6585200814
163	0.6584922193
52
164	0.6591892027
165	0.6591370488
2
166	0.6599207086
167	0.6598782449
168	0.6598313463
169	0.6597909381
170	0.6597518241
171	0.6597240254
172	0.6596818257
173	0.6596371842
174	0.6596031569
175	0.6595589023
176	0.6595271734
177	0.6594838853
